,P_NAME,P_RADIUS,P_MASS,P_ESCAPE,P_TEMP_SURF
3212,Kepler-220 d,0.97527,0.90263153,0.96203931,482.92192
3213,Kepler-220 e,1.33399,2.3296793,1.321514,410.12524
3214,Kepler-221 b,1.71513,3.5596736,1.4406436,1185.4135
3225,Kepler-224 b,1.39004,2.5108412,1.3439898,1097.9408
3227,Kepler-224 d,2.29805,5.9116009,1.6038835,717.4237
3228,Kepler-224 e,1.97296,4.5449404,1.5177665,607.79885
3239,Kepler-229 b,2.19716,5.4666417,1.577355,847.76381
3261,Kepler-237 b,1.41246,2.5712285,1.3492184,977.76777
3262,Kepler-237 c,2.08506,4.9898996,1.5469869,820.52449
3268,Kepler-239 b,2.33168,6.0387321,1.6093052,710.16443
3274,Kepler-240 b,1.36762,2.4504539,1.3385683,971.29265
3275,Kepler-240 c,2.19716,102.34062,6.824851,782.26673
3276,Kepler-241 b,2.33168,6.0387321,1.6093052,661.69339
3279,Kepler-242 c,1.99538,4.6720716,1.5301779,612.36093
3280,Kepler-243 b,2.45499,6.5790397,1.6370291,932.23386
3281,Kepler-243 c,1.99538,4.608506,1.5197329,615.99409
3286,Kepler-245 c,2.17474,225.65788,10.18642,650.51884
3288,Kepler-245 e,1.74876,3.7185876,1.4582229,1145.3566
3289,Kepler-246 b,2.34289,6.0705149,1.6096699,994.76168
3290,Kepler-246 c,1.50214,2.8572737,1.3791793,735.96798
3291,Kepler-247 b,1.63666,3.337194,1.427945,1101.149
3302,Kepler-250 b,1.13221,1.5065047,1.153511,1009.4855
3303,Kepler-250 c,2.27563,5.8162525,1.5987141,841.96914
3304,Kepler-250 d,2.17474,5.403076,1.5762201,620.61013
3311,Kepler-253 b,1.62545,3.3054112,1.4260211,1073.5983
3335,Kepler-260 b,2.00659,4.7038544,1.5310791,996.41461
3336,Kepler-260 c,1.73755,3.6868048,1.456654,473.58908
3337,Kepler-261 b,2.17474,5.403076,1.5762201,739.57017
3338,Kepler-261 c,1.99538,4.6720716,1.5301779,555.4672
3342,Kepler-263 c,2.4662,6.6743881,1.6450973,449.84514
3366,Kepler-272 b,1.43488,77.867861,7.3666719,1533.1298
3367,Kepler-272 c,1.7936,97.891025,7.3876896,1210.0569
3368,Kepler-272 d,2.25321,5.6891213,1.5889922,990.71793
3397,Kepler-283 b,2.1299,5.1805964,1.5595894,570.57639
3398,Kepler-283 c,1.81602,3.97285,1.479077,279.79731
3407,Kepler-287 b,2.33168,6.0387321,1.6093052,699.49839
3417,Kepler-290 b,2.25321,5.6891213,1.5889922,619.11935
3421,Kepler-292 b,1.32278,2.3010747,1.3189294,1266.7377
