,P_NAME,P_RADIUS,P_MASS,P_ESCAPE,P_TEMP_SURF,S_TEMPERATURE,S_RADIUS,S_MASS,S_LUMINOSITY
205,GJ 3090 b,2.1299,3.3403723,1.2523272,742.0362,3556.0,0.52,0.52,0.045498806
206,GJ 3138 b,1.18826,1.7798368,1.2238674,941.88563,3717.0,0.5,0.68,0.044977985
207,GJ 3138 c,1.87207,4.1794382,1.4941628,554.56671,3717.0,0.5,0.68,0.044977985
215,GJ 3293 d,2.66798,7.5992676,1.6876974,251.33019,3466.0,0.4,0.42,0.021978599
216,GJ 3293 e,1.62545,3.279985,1.4205258,385.60326,3466.0,0.4,0.42,0.021978599
217,GJ 3323 b,1.22189,2.0213861,1.2862002,360.74047,3159.0,0.12,0.16,0.0026977394
218,GJ 3323 c,1.32278,2.3106096,1.3216592,184.1012,3159.0,0.12,0.16,0.0026977394
219,GJ 3341 b,2.45499,6.6108225,1.6409785,395.45551,3526.0,0.44,0.47,0.028973436
222,GJ 3473 b,1.26673,1.8592938,1.2115239,798.74614,3347.0,0.36,0.36,0.014996848
223,GJ 3473 c,2.63435,7.4085707,1.67699,340.18775,3347.0,0.36,0.36,0.014996848
226,GJ 357 b,1.22189,1.8402241,1.2272112,546.30691,3505.0,0.34,0.34,0.015922087
227,GJ 357 c,1.65908,3.4007596,1.4317075,413.81459,3505.0,0.34,0.34,0.015922087
228,GJ 357 d,2.34289,6.0991194,1.6134578,226.28493,3505.0,0.34,0.34,0.015922087
229,GJ 3634 b,2.83613,8.2635281,1.7069456,638.41891,3517.0,0.43,0.45,0.019998619
230,GJ 367 b,0.71744,0.54666417,0.87290606,1406.3439,3522.0,0.46,0.45,0.028773984
231,GJ 3779 b,2.74645,7.9997308,1.706679,544.31572,3324.0,0.28,0.27,0.0086696188
232,GJ 3929 b,1.08737,1.7512323,1.2690631,585.4913,3384.0,0.32,0.31,0.010889301
233,GJ 3929 c,2.25321,5.7113692,1.5920961,326.57145,3384.0,0.32,0.31,0.010889301
234,GJ 393 b,1.16584,1.7099147,1.2110658,501.12195,3579.0,0.43,0.43,0.026853444
235,GJ 3942 b,2.56709,7.1384169,1.6675559,611.81475,3867.0,0.61,0.63,0.075857758
236,GJ 3998 b,1.37883,2.4695236,1.3382931,760.36431,3722.0,0.49,0.5,0.04102041
237,GJ 3998 c,2.37652,6.2612117,1.6231492,433.97078,3722.0,0.49,0.5,0.04102041
238,GJ 411 b,1.44609,2.6888249,1.3635893,382.93697,3719.0,0.37,0.39,0.019498446
239,GJ 414 A b,2.63435,7.5992676,1.6984358,345.96348,4120.0,0.68,0.65,0.1191242
243,GJ 433 b,2.33168,6.0419103,1.6097286,434.49164,3461.0,0.5,0.48,0.019998619
245,GJ 433 d,2.14111,5.2219141,1.5616919,291.66045,3461.0,0.47,0.48,0.033496544
248,GJ 486 b,1.30036,2.8191344,1.4724009,724.64991,3340.0,0.33,0.32,0.012105981
250,GJ 514 b,2.1299,5.1996661,1.5624572,198.94915,3728.0,0.5,0.51,0.042953643
251,GJ 536 b,2.17474,5.3585801,1.5697164,504.4022,3685.0,0.5,0.52,0.041975898
253,GJ 581 c,2.20837,5.4984245,1.5779136,362.03711,3396.0,0.33,0.31,0.013031668
254,GJ 581 e,1.16584,1.6844884,1.2020279,579.40404,3396.0,0.33,0.31,0.013031668
255,GJ 625 b,1.49093,2.8191344,1.3750841,345.11188,3499.0,0.31,0.3,0.012764388
265,GJ 676 A d,1.77118,3.7980446,1.4643628,794.12756,4006.03,0.65,0.63,0.09057326
266,GJ 676 A e,2.47741,6.6902795,1.643324,370.76516,4006.03,0.65,0.63,0.09057326
268,GJ 682 b,1.93933,4.3987396,1.5060461,215.03131,3028.0,0.3,0.27,0.0019998619
269,GJ 682 c,2.89218,8.6989524,1.7342864,144.94132,3028.0,0.3,0.27,0.0019998619
270,GJ 685 b,2.94823,9.000889,1.7472781,381.52332,3816.0,0.54,0.55,0.055847019
274,GJ 740 b,1.53577,2.9589787,1.3880587,840.78258,3913.0,0.56,0.58,0.062230029
281,GJ 876 d,2.51104,6.6743881,1.6303427,663.65048,3293.74,0.3,0.32,0.012387966
283,GJ 887 b,1.88328,4.1985079,1.4931039,483.29941,3688.0,0.47,0.49,0.036812897
284,GJ 887 c,2.66798,7.5992676,1.6876974,363.81458,3688.0,0.47,0.49,0.036812897
288,GJ 9689 b,3.07154,9.6492582,1.7724291,424.9845,3836.0,0.57,0.59,0.063095734
290,GJ 9827 b,1.58061,4.9104426,1.7625764,1220.0898,4340.0,0.6,0.61,0.11428783
291,GJ 9827 c,1.24431,0.83906593,0.82117127,844.40518,4340.0,0.6,0.61,0.11428783
292,GJ 9827 d,2.0178,4.0395939,1.4149132,707.49923,4340.0,0.6,0.61,0.11428783
